landlot_address,road_name_address,x,y
경기도 수원시 권선구 세류동 1108번지 23호,"경기도 수원시 권선구 세지로12번길 33-1, 1층 (세류동)",201401.4559,416773.2952
경기도 수원시 권선구 권선동 1364번지,경기도 수원시 권선구 동수원로177번길 40 (상가)800동 115호 (권선동),202599.7944,416089.1258
경기도 수원시 권선구 세류동 1117-14,경기도 수원시 권선구 세지로12번길 46 (세류동),201468.9598,416723.8488
경기도 수원시 영통구 매탄동 199-40,"경기도 수원시 영통구 산남로 73, 1층 (매탄동)",204295.8091,418612.8831
경기도 수원시 영통구 망포동 370번지 3호,"경기도 수원시 영통구 영통로153번길 6, 1층 (망포동)",204799.1083,415501.325
경기도 수원시 영통구 망포동 651번지 5호,경기도 수원시 영통구 태장로 68 (망포동),204706.2314,415225.3631
경기도 수원시 영통구 영통동 1010번지 9호,"경기도 수원시 영통구 반달로35번길 19, 110,111호 (영통동, 대원빌딩)",206698.2869,416640.7714
경기도 수원시 영통구 매탄동 1235-1 우영프라자,"경기도 수원시 영통구 인계로 260, 우영프라자 105호 (매탄동)",203983.434,417993.3832
경기도 수원시 영통구 망포동 725 영통 SK VIEW,"경기도 수원시 영통구 영통로200번길 112, 근린생활시설동 101호 (망포동, 영통 SK VIEW)",205453.5767,415644.9696
경기도 수원시 영통구 영통동 1010-13 거성빌딩,"경기도 수원시 영통구 청명남로 30, 거성빌딩 1층 104호 (영통동)",206621.4738,416699.1751
경기도 수원시 영통구 매탄동 361-8,"경기도 수원시 영통구 삼성로 245, 1층 (매탄동)",205348.3574,418046.5566
경기도 수원시 권선구 권선동 1337번지 수원아이파크시티7단지,"경기도 수원시 권선구 덕영대로1190번길 100, 112호,113호 (권선동, 수원아이파크시티7단지)",201706.2828,416059.045
경기도 수원시 영통구 매탄2동 130번지 58호,경기도 수원시 영통구 매여울로40번길 92 (매탄동),204373.8411,418967.3015
경기도 수원시 팔달구 인계동 1004번지 6호,"경기도 수원시 팔달구 세지로152번길 11, 1층 (인계동)",201845.0398,418110.6336
경기도 수원시팔달구 우만동 89번지 26  호 1층,"경기도 수원시 팔달구 권광로340번길 79 (우만동,1층)",203686.554,419354.6879
경기도 수원시 팔달구 화서동 649번지 2호,경기도 수원시 팔달구 덕영대로697번길 34 (화서동),199222.6904,420331.5416
경기도 수원시 팔달구 인계동 1044번지 13호,경기도 수원시 팔달구 효원로249번길 18-17 (인계동),202642.2369,417919.9416
경기도 수원시장안구 정자동 914번지 대림진흥아파트 상가 103호,"경기도 수원시 장안구 천천로74번길 92 (정자동,대림진흥아파트 상가 103호)",198932.6076,422055.7499
경기도 수원시 권선구 구운동 528,"경기도 수원시 권선구 구운로27번길 33, 1층 (구운동)",197667.2259,419292.0191
경기도 수원시영통구 매탄동 872번지 1   호,경기도 수원시 영통구 인계로270번길 2 (매탄동),204078.778,417966.7692
경기도 수원시 팔달구 인계동 1024번지 10호   101호,"경기도 수원시 팔달구 경수대로446번길 13, 101호 (인계동)",202358.8899,418222.8458
경기도 수원시 팔달구 고등동 74번지 33호,경기도 수원시 팔달구 고화로13번길 2 (고등동),200599.3594,418757.1144
경기도 수원시 권선구 세류3동 569번지 39호,경기도 수원시 권선구 정조로 479-12 (세류동),200897.2328,416642.9848
경기도 수원시영통구 신동 340번지 13호,경기도 수원시 영통구 영통로241번길 12-6 (신동),205005.0574,416369.3097
경기도 수원시 영통구 하동 966,"경기도 수원시 영통구 법조로149번길 101, 1층 (하동)",206042.6743,421323.0977
경기도 수원시 장안구 조원동 759번지 14호,경기도 수원시 장안구 조원로111번길 47 (조원동),201051.3125,422050.891
경기도 수원시 영통구 매탄동 1205-5,경기도 수원시 영통구 매봉로35번길 12(매탄동),204567.5867,418828.5478
경기도 수원시 영통구 원천동 327번지,"경기도 수원시 영통구 삼성로 290, 지하1층 (원천동, 삼성전자(주)CS아카데미)",205744.2104,418201.0497
경기도 수원시 영통구 망포동 345번지 20호,"경기도 수원시 영통구 영통로174번길 85, 1층 (망포동)",205263.7932,415780.378
경기도 수원시 장안구 정자동 29번지 3호,"경기도 수원시 장안구 정자천로188번길 49, 1층 (정자동)",199721.7568,421389.0291
경기도 수원시 장안구 천천동 339번지 17호 순현타운,"경기도 수원시 장안구 화산로125번길 26, 순현타운 101호 (천천동)",198073.3453,421346.2128
경기도 수원시 장안구 천천동 325번지 40호 신원프라자,"경기도 수원시 장안구 정자천로13번길 45, 신원프라자 104, 105호 (천천동)",198006.311,420979.4163
경기도 수원시 장안구 송죽동 453번지 29호,경기도 수원시 장안구 경수대로973번길 18 (송죽동),200292.6186,422413.9652
경기도 수원시 장안구 율전동 168번지 106호,"경기도 수원시 장안구 덕영대로381번길 64, 1층 (율전동)",197005.1221,422259.8157
"경기도 수원시 장안구 연무동 21번지 유천프라자 121,122호","경기도 수원시 장안구 창훈로66번길 11-3, 121,122호 (연무동,유천프라자)",202451.8617,421775.3469
경기도 수원시 장안구 정자동 72번지 3호,경기도 수원시 장안구 장안로 77 (정자동),200141.7712,421041.3576
경기도 수원시팔달구 고등동 254번지 8   호,,,
경기도 수원시 팔달구 매산로3가 94번지 1호,경기도 수원시 팔달구 효원로60번길 30 (매산로3가),200609.5705,418419.8281
경기도 수원시 장안구 정자동 873번지 4호,경기도 수원시 장안구 정자천로 199 (정자동),199631.328,421764.7642
경기도 수원시 장안구 송죽동 77번지 1호,경기도 수원시 장안구 경수대로976번길 32 (송죽동),200331.6925,422682.7341
경기도 수원시 영통구 이의동 1347번지 3호 에듀프라자 103호,"경기도 수원시 영통구 도청로89번길 43 (이의동,에듀프라자 103호)",204129.1799,420809.2767
경기도 수원시 권선구 곡반정동 604번지 1호 1층,"경기도 수원시 권선구 경수대로54번길 58, 1층 (곡반정동)",202096.9534,414695.0088
경기도 수원시팔달구 매산로2가 40번지 1   호 동인트루빌오피스텔  109,"경기도 수원시 팔달구 매산로 51, 109호 (매산로2가,동인트루빌오피스텔)",200539.237,418582.5587
경기도 수원시권선구 곡반정동 호 23블럭 9롯트 102호,,,
경기도 수원시권선구 입북동 426번지 1호,경기도 수원시 권선구 수인로 446 (입북동),196288.1869,421198.8883
경기도 수원시권선구 탑동 839번지 1호 가림주택 11차 101호,"경기도 수원시 권선구 상탑로 22 (탑동,가림주택 11차 101호)",197600.4985,418755.4076
경기도 수원시 권선구 권선동 1013번지 지오베르크 101호,"경기도 수원시 권선구 효원로256번길 7, 101호 (권선동, 지오베르크)",202568.8623,417746.467
경기도 수원시 권선구 곡반정동 533번지 8호 101호,"경기도 수원시 권선구 동수원로146번길 200-3, 101호 (곡반정동)",202834.9036,415559.0411
경기도 수원시 권선구 고색동,"경기도 수원시 권선구 고산로6번길 45 (고색동, 대원아파트상가 105,106,109)",198526.4946,416287.7824
경기도 수원시 장안구 영화동 297번지 1호,"경기도 수원시 장안구 정조로946번길 8, 1층 (영화동)",201039.9789,421117.2235
경기도 수원시 장안구 파장동 212번지 23호,"경기도 수원시 장안구 경수대로 1092, 1층 (파장동)",199334.6716,423121.7456
경기도 수원시 장안구 정자동 327번지 13호 굽네치킨,"경기도 수원시 장안구 대평로142번길 21, 굽네치킨 1층 (정자동)",199158.8534,422099.3739
