landlot_address,centroid_x,centroid_y,polygon_geom,vertices
경기도 수원시 권선구 곡반정동 533번지 8호 101호,127.0326771,37.2421402,"POLYGON ((127.031706 37.24222, 127.032461 37.241409, 127.032781 37.241243, 127.033448 37.242091, 127.033602 37.242416, 127.033486 37.242635, 127.033161 37.24279, 127.031812 37.242564, 127.031706 37.24222))","[[127.031706, 37.24222], [127.032461, 37.241409], [127.032781, 37.241243], [127.033448, 37.242091], [127.033602, 37.242416], [127.033486, 37.242635], [127.033161, 37.24279], [127.031812, 37.242564], [127.031706, 37.24222]]"
경기도 수원시 장안구 파장동 212번지 23호,126.9931414,37.31021823,"POLYGON ((126.992004 37.310358, 126.992328 37.309898, 126.993407 37.309379, 126.993512 37.309385, 126.993919 37.309489, 126.994063 37.309819, 126.993804 37.31086, 126.993488 37.311032, 126.992163 37.310681, 126.992004 37.310358))","[[126.992004, 37.310358], [126.992328, 37.309898], [126.993407, 37.309379], [126.993512, 37.309385], [126.993919, 37.309489], [126.994063, 37.309819], [126.993804, 37.31086], [126.993488, 37.311032], [126.992163, 37.310681], [126.992004, 37.310358]]"
경기도 수원시 장안구 정자동 327번지 13호 굽네치킨,126.9913294,37.30080142,"POLYGON ((126.990417 37.301123, 126.990249 37.300615, 126.990369 37.300276, 126.991316 37.299867, 126.991376 37.29986, 126.991464 37.299885, 126.992033 37.300249, 126.992263 37.300627, 126.992429 37.301014, 126.992307 37.301353, 126.991599 37.301647, 126.991328 37.301637, 126.991038 37.30159, 126.990757 37.301516, 126.990417 37.301123))","[[126.990417, 37.301123], [126.990249, 37.300615], [126.990369, 37.300276], [126.991316, 37.299867], [126.991376, 37.29986], [126.991464, 37.299885], [126.992033, 37.300249], [126.992263, 37.300627], [126.992429, 37.301014], [126.992307, 37.301353], [126.991599, 37.301647], [126.991328, 37.301637], [126.991038, 37.30159], [126.990757, 37.301516], [126.990417, 37.301123]]"
경기도 수원시 영통구 망포동 355번지 12호,127.0591135,37.24351565,"POLYGON ((127.057548 37.242904, 127.058732 37.243061, 127.058759 37.243066, 127.059113 37.243169, 127.059134 37.243176, 127.060852 37.243893, 127.060722 37.244228, 127.057778 37.243416, 127.0575 37.243261, 127.057548 37.242904))","[[127.057548, 37.242904], [127.058732, 37.243061], [127.058759, 37.243066], [127.059113, 37.243169], [127.059134, 37.243176], [127.060852, 37.243893], [127.060722, 37.244228], [127.057778, 37.243416], [127.0575, 37.243261], [127.057548, 37.242904]]"
경기도 수원시 영통구 영통동 954번지 1호,127.0779473,37.26452511,"POLYGON ((127.077464 37.263735, 127.077617 37.263503, 127.077623 37.263503, 127.078074 37.263718, 127.078673 37.26437, 127.078673 37.26473, 127.078653 37.264841, 127.078595 37.264927, 127.077759 37.265449, 127.077402 37.265406, 127.077464 37.263735))","[[127.077464, 37.263735], [127.077617, 37.263503], [127.077623, 37.263503], [127.078074, 37.263718], [127.078673, 37.26437], [127.078673, 37.26473], [127.078653, 37.264841], [127.078595, 37.264927], [127.077759, 37.265449], [127.077402, 37.265406], [127.077464, 37.263735]]"
경기도 수원시 영통구 매탄동 199-63,127.0488328,37.26869484,"POLYGON ((127.047692 37.268892, 127.048092 37.268277, 127.048174 37.268256, 127.049128 37.268023, 127.049825 37.268289, 127.04992 37.268348, 127.049948 37.268415, 127.04991 37.268639, 127.049605 37.269129, 127.049264 37.269243, 127.049227 37.269244, 127.047793 37.269237, 127.047692 37.268892))","[[127.047692, 37.268892], [127.048092, 37.268277], [127.048174, 37.268256], [127.049128, 37.268023], [127.049825, 37.268289], [127.04992, 37.268348], [127.049948, 37.268415], [127.04991, 37.268639], [127.049605, 37.269129], [127.049264, 37.269243], [127.049227, 37.269244], [127.047793, 37.269237], [127.047692, 37.268892]]"
경기도 수원시팔달구 우만동 518번지 17  호,127.0340056,37.28574941,"POLYGON ((127.033093 37.28537, 127.033288 37.285068, 127.034446 37.284979, 127.034697 37.285237, 127.035004 37.285988, 127.034736 37.286261, 127.034735 37.286262, 127.034599 37.286397, 127.034464 37.286532, 127.033476 37.28645, 127.033219 37.286197, 127.033093 37.28537))","[[127.033093, 37.28537], [127.033288, 37.285068], [127.034446, 37.284979], [127.034697, 37.285237], [127.035004, 37.285988], [127.034736, 37.286261], [127.034735, 37.286262], [127.034599, 37.286397], [127.034464, 37.286532], [127.033476, 37.28645], [127.033219, 37.286197], [127.033093, 37.28537]]"
경기도 수원시팔달구 매산로1가 41번지 6   호,127.0035519,37.26828297,"POLYGON ((127.002615 37.268141, 127.00274 37.267803, 127.003488 37.267278, 127.003587 37.267236, 127.00378 37.267256, 127.004129 37.267525, 127.004189 37.267658, 127.004541 37.268472, 127.004415 37.268809, 127.003903 37.269202, 127.00273 37.269003, 127.002615 37.268141))","[[127.002615, 37.268141], [127.00274, 37.267803], [127.003488, 37.267278], [127.003587, 37.267236], [127.00378, 37.267256], [127.004129, 37.267525], [127.004189, 37.267658], [127.004541, 37.268472], [127.004415, 37.268809], [127.003903, 37.269202], [127.00273, 37.269003], [127.002615, 37.268141]]"
경기도 수원시 권선구 금곡동 1113-1,126.9521472,37.27461367,"POLYGON ((126.951114 37.274465, 126.951227 37.274123, 126.951714 37.273983, 126.953317 37.27481, 126.953376 37.274983, 126.953345 37.275041, 126.953343 37.275044, 126.95331 37.275102, 126.953201 37.275151, 126.951512 37.274891, 126.951114 37.274465))","[[126.951114, 37.274465], [126.951227, 37.274123], [126.951714, 37.273983], [126.953317, 37.27481], [126.953376, 37.274983], [126.953345, 37.275041], [126.953343, 37.275044], [126.95331, 37.275102], [126.953201, 37.275151], [126.951512, 37.274891], [126.951114, 37.274465]]"
경기도 수원시 장안구 율전동 287번지 다래원,126.9717878,37.2983948,"POLYGON ((126.97086 37.298021, 126.97097 37.297734, 126.971256 37.297515, 126.97208 37.297877, 126.972681 37.298542, 126.972745 37.298793, 126.972733 37.298898, 126.972599 37.299072, 126.972309 37.299287, 126.971562 37.298901, 126.970903 37.298379, 126.97086 37.298021))","[[126.97086, 37.298021], [126.97097, 37.297734], [126.971256, 37.297515], [126.97208, 37.297877], [126.972681, 37.298542], [126.972745, 37.298793], [126.972733, 37.298898], [126.972599, 37.299072], [126.972309, 37.299287], [126.971562, 37.298901], [126.970903, 37.298379], [126.97086, 37.298021]]"
경기도 수원시 장안구 파장동 594번지 3호,126.9975908,37.30734671,"POLYGON ((126.996597 37.307434, 126.996825 37.306794, 126.997071 37.306372, 126.998274 37.306693, 126.998419 37.307023, 126.998539 37.307852, 126.998012 37.308232, 126.997624 37.308285, 126.996742 37.307763, 126.996597 37.307434))","[[126.996597, 37.307434], [126.996825, 37.306794], [126.997071, 37.306372], [126.998274, 37.306693], [126.998419, 37.307023], [126.998539, 37.307852], [126.998012, 37.308232], [126.997624, 37.308285], [126.996742, 37.307763], [126.996597, 37.307434]]"
경기도 수원시장안구 조원동 776번지 9   호,127.0112578,37.29611102,"POLYGON ((127.010245 37.296059, 127.010401 37.295734, 127.011166 37.295319, 127.011632 37.295232, 127.012051 37.29548, 127.012165 37.295797, 127.012088 37.296362, 127.011812 37.296793, 127.010755 37.297021, 127.010245 37.296059))","[[127.010245, 37.296059], [127.010401, 37.295734], [127.011166, 37.295319], [127.011632, 37.295232], [127.012051, 37.29548], [127.012165, 37.295797], [127.012088, 37.296362], [127.011812, 37.296793], [127.010755, 37.297021], [127.010245, 37.296059]]"
경기도 수원시 권선구 세류동 1147번지 1호,127.0140379,37.2478322,"POLYGON ((127.01304 37.247755, 127.013041 37.247753, 127.013068 37.247693, 127.013885 37.247324, 127.014949 37.247416, 127.014918 37.247775, 127.014847 37.24795, 127.013981 37.248487, 127.013811 37.248458, 127.013014 37.247815, 127.01304 37.247755))","[[127.01304, 37.247755], [127.013041, 37.247753], [127.013068, 37.247693], [127.013885, 37.247324], [127.014949, 37.247416], [127.014918, 37.247775], [127.014847, 37.24795], [127.013981, 37.248487], [127.013811, 37.248458], [127.013014, 37.247815], [127.01304, 37.247755]]"
경기도 수원시장안구 송죽동 374번지 31호,127.0037478,37.29779972,"POLYGON ((127.002915 37.298184, 127.002923 37.297182, 127.003189 37.29694, 127.003811 37.297017, 127.004515 37.297271, 127.004693 37.297584, 127.004556 37.298259, 127.004515 37.298397, 127.004248 37.29864, 127.003942 37.298606, 127.003093 37.298497, 127.002915 37.298184))","[[127.002915, 37.298184], [127.002923, 37.297182], [127.003189, 37.29694], [127.003811, 37.297017], [127.004515, 37.297271], [127.004693, 37.297584], [127.004556, 37.298259], [127.004515, 37.298397], [127.004248, 37.29864], [127.003942, 37.298606], [127.003093, 37.298497], [127.002915, 37.298184]]"
경기도 수원시장안구 조원동 742번지 4호,127.0168783,37.30025484,"POLYGON ((127.015832 37.300669, 127.017195 37.299436, 127.017377 37.299422, 127.017604 37.299702, 127.017617 37.300323, 127.017531 37.300458, 127.017177 37.300676, 127.016057 37.30095, 127.015832 37.300669))","[[127.015832, 37.300669], [127.017195, 37.299436], [127.017377, 37.299422], [127.017604, 37.299702], [127.017617, 37.300323], [127.017531, 37.300458], [127.017177, 37.300676], [127.016057, 37.30095], [127.015832, 37.300669]]"
경기도 수원시 장안구 조원1동 519번지 215호 3호,127.0202422,37.29904819,"POLYGON ((127.019161 37.298753, 127.020176 37.298184, 127.020516 37.298303, 127.021303 37.299119, 127.021384 37.299332, 127.021372 37.29937, 127.021214 37.299468, 127.020534 37.299835, 127.020174 37.299823, 127.019125 37.299111, 127.019161 37.298753))","[[127.019161, 37.298753], [127.020176, 37.298184], [127.020516, 37.298303], [127.021303, 37.299119], [127.021384, 37.299332], [127.021372, 37.29937], [127.021214, 37.299468], [127.020534, 37.299835], [127.020174, 37.299823], [127.019125, 37.299111], [127.019161, 37.298753]]"
경기도 수원시 장안구 조원동 851번지 1호 금남빌 1층상가,127.0133442,37.30408162,"POLYGON ((127.012431 37.303771, 127.013049 37.303572, 127.013071 37.303572, 127.013812 37.303564, 127.01404 37.303843, 127.014234 37.304485, 127.014006 37.304765, 127.012287 37.304135, 127.012178 37.304027, 127.012431 37.303771))","[[127.012431, 37.303771], [127.013049, 37.303572], [127.013071, 37.303572], [127.013812, 37.303564], [127.01404, 37.303843], [127.014234, 37.304485], [127.014006, 37.304765], [127.012287, 37.304135], [127.012178, 37.304027], [127.012431, 37.303771]]"
